unique_id,date,year,day_number,ID_NR,lat,lon,age,s_length,cub_status,cub_number
12.04.1992_7814,1992-04-12,1992,103,7814,77.333,15.15,5,182,n,0
12.04.1992_7815,1992-04-12,1992,103,7815,77.05,16.383,6,191,n,0
13.04.1992_7819,1992-04-13,1992,104,7819,77.233,17.433,5,194,n,0
14.04.1992_7825,1992-04-14,1992,105,7825,77.7,18.3,7,195,n,0
14.04.1992_7826,1992-04-14,1992,105,7826,77.583,18.383,15,189,c,2
27.04.1992_7829,1992-04-27,1992,118,7829,76.95,16.25,9,185,n,0
29.04.1992_7832,1992-04-29,1992,120,7832,77.001,15.544,15,190,n,0
07.04.1993_7847,1993-04-07,1993,97,7847,77,16,9,198,n,0
09.04.1993_7768,1993-04-09,1993,99,7768,78.33,18.69,13,180,n,0
09.04.1993_7838,1993-04-09,1993,99,7838,78.51,18.9,14,184,n,0
11.04.1993_7792,1993-04-11,1993,101,7792,77.518,18.354,6,182,n,0
12.04.1993_7857,1993-04-12,1993,102,7857,77.336,22.584,8,196,c,2
12.04.1993_7860,1993-04-12,1993,102,7860,77.902,23.519,6,192,c,2
12.04.1993_7863,1993-04-12,1993,102,7863,78.224,21.667,10,195,c,2
13.04.1993_7793,1993-04-13,1993,103,7793,78.341,20.633,12,210,c,2
16.04.1993_7773,1993-04-16,1993,106,7773,78.526,19.253,6,199,n,0
16.04.1993_7817,1993-04-16,1993,106,7817,77.021,17.309,12,203,n,0
29.04.1993_7822,1993-04-29,1993,119,7822,77.73,18.4,11,193,c,2
30.04.1993_7789,1993-04-30,1993,120,7789,78.55,19.25,6,187,n,0
30.04.1993_7877,1993-04-30,1993,120,7877,77.8,18.55,5,194,n,0
29.03.1994_7951,1994-03-29,1994,88,7951,79.515,13.701,7,202,c,2
09.04.1994_7884,1994-04-09,1994,99,7884,77.494,26.01,8,198,n,0
14.04.1994_7887,1994-04-14,1994,104,7887,76.52,25.05,6,194,c,1
14.04.1994_7889,1994-04-14,1994,104,7889,76.52,25.05,7,200,c,2
19.04.1994_7893,1994-04-19,1994,109,7893,76.521,25.064,13,202,c,2
29.03.1995_7907,1995-03-29,1995,88,7907,76.67,25.42,12,185,n,0
30.03.1995_7909,1995-03-30,1995,89,7909,76.67,25.433,5,191,n,0
30.03.1995_7911,1995-03-30,1995,89,7911,76.683,25.457,8,197,n,0
30.03.1995_7913,1995-03-30,1995,89,7913,76.53,25.05,10,198,n,0
30.03.1995_7914,1995-03-30,1995,89,7914,76.55,25.15,5,183,n,0
31.03.1995_7915,1995-03-31,1995,90,7915,76.55,25.15,7,199,n,0
04.04.1995_7917,1995-04-04,1995,94,7917,76.55,25.7,7,198,n,0
05.04.1995_7918,1995-04-05,1995,95,7918,76.65,25.41,6,188,n,0
05.04.1995_7919,1995-04-05,1995,95,7919,76.67,25.45,6,189,c,2
08.04.1995_7761,1995-04-08,1995,98,7761,76.7,25.43,12,195,c,2
08.04.1995_7928,1995-04-08,1995,98,7928,76.7,25.44,8,187,c,2
10.04.1995_7934,1995-04-10,1995,100,7934,76.5,25.95,5,190,n,0
11.04.1995_7935,1995-04-11,1995,101,7935,76.52,25.1,7,188,c,1
11.04.1995_7937,1995-04-11,1995,101,7937,76.7,25.45,8,197,c,2
11.04.1995_7940,1995-04-11,1995,101,7940,76.5,24.95,6,188,c,2
12.04.1995_7944,1995-04-12,1995,102,7944,76.51,25.1,10,190,c,2
20.04.1995_7949,1995-04-20,1995,110,7949,76.51,25.1,8,185,c,2
20.04.1995_7963,1995-04-20,1995,110,7963,76.5,25.1,6,188,c,2
21.04.1995_7966,1995-04-21,1995,111,7966,76.5,25.1,7,191,n,0
02.04.1996_7993,1996-04-02,1996,93,7993,76.7,25.467,14,182,c,1
03.04.1996_7997,1996-04-03,1996,94,7997,76.7,25.45,7,195,c,2
04.04.1996_23004,1996-04-04,1996,95,23004,76.68,25.4,9,191,c,2
06.04.1996_23007,1996-04-06,1996,97,23007,76.5,25,6,185,c,2
06.04.1996_23010,1996-04-06,1996,97,23010,76.7,25.467,14,195,c,2
07.04.1996_23013,1996-04-07,1996,98,23013,76.683,25.52,7,190,c,2
09.04.1996_23016,1996-04-09,1996,100,23016,76.67,25.43,8,195,c,2
10.04.1996_7940,1996-04-10,1996,101,7940,76.43,24.51,7,195,c,2
12.04.1996_23023,1996-04-12,1996,103,23023,NA,NA,13,195,n,0
12.04.1996_23024,1996-04-12,1996,103,23024,76.7,25.5,7,196,c,1
12.04.1996_23026,1996-04-12,1996,103,23026,76.567,25.267,10,187,c,2
13.04.1996_23032,1996-04-13,1996,104,23032,77.2,24.2,7,195,c,2
13.04.1996_23035,1996-04-13,1996,104,23035,76.683,25.333,7,198,c,2
17.04.1996_23039,1996-04-17,1996,108,23039,76.57,25.27,6,197,c,2
19.04.1996_23042,1996-04-19,1996,110,23042,76.7,25.47,7,183,c,2
19.04.1996_23046,1996-04-19,1996,110,23046,76.43,24.51,21,191,c,2
23.04.1996_23049,1996-04-23,1996,114,23049,76.5,25.51,9,197,c,2
23.04.1996_23052,1996-04-23,1996,114,23052,76.67,25.45,7,182,c,2
23.04.1996_23055,1996-04-23,1996,114,23055,76.5,25,6,189,c,2
23.04.1996_23058,1996-04-23,1996,114,23058,76.1,25.51,6,200,n,0
29.04.1996_23062,1996-04-29,1996,120,23062,79.25,15.65,5,190,n,0
01.05.1996_23065,1996-05-01,1996,122,23065,77.5,18.2,11,192,n,0
27.03.1997_23071,1997-03-27,1997,86,23071,76.57,25.13,22,193,n,0
28.03.1997_23069,1997-03-28,1997,87,23069,76.6,25.21,15,205,n,0
02.04.1997_23076,1997-04-02,1997,92,23076,76.5,25.1,10,203,n,0
03.04.1997_23077,1997-04-03,1997,93,23077,78.2,21.97,6,200,c,2
05.04.1997_23087,1997-04-05,1997,95,23087,76.5,25.02,11,194,n,0
07.04.1997_7935,1997-04-07,1997,97,7935,76.555,25.244,9,191,c,1
07.04.1997_23089,1997-04-07,1997,97,23089,76.58,25.18,26,199,n,0
08.04.1997_23096,1997-04-08,1997,98,23096,78.15,22,11,199,c,2
08.04.1997_23099,1997-04-08,1997,98,23099,78.074,22.045,18,201,c,1
09.04.1997_23052,1997-04-09,1997,99,23052,77.37,22.4,8,188,n,0
09.04.1997_23106,1997-04-09,1997,99,23106,78.15,21.2,7,207,c,3
09.04.1997_23109,1997-04-09,1997,99,23109,76.5,25,18,201,n,0
10.04.1997_23111,1997-04-10,1997,100,23111,76.555,25.086,6,178,c,1
14.04.1997_23113,1997-04-14,1997,104,23113,76.456,24.977,6,202,c,1
14.04.1997_23115,1997-04-14,1997,104,23115,76.91,23.73,17,196,n,0
15.04.1997_23120,1997-04-15,1997,105,23120,77.1,25.17,13,191,n,0
17.04.1997_23123,1997-04-17,1997,107,23123,76.46,24.98,8,202,c,1
19.04.1997_23125,1997-04-19,1997,109,23125,77.17,24.24,5,198,n,0
19.04.1997_23128,1997-04-19,1997,109,23128,77.05,24.33,9,193,n,0
19.04.1997_23131,1997-04-19,1997,109,23131,76.83,24.8,17,193,n,0
20.04.1997_23135,1997-04-20,1997,110,23135,76.53,25.09,15,198,n,0
22.04.1997_23137,1997-04-22,1997,112,23137,77.3,22.65,5,195,c,1
22.04.1997_23139,1997-04-22,1997,112,23139,78.06,22,7,197,c,1
22.04.1997_23141,1997-04-22,1997,112,23141,78.06,22,7,192,c,2
22.04.1997_23145,1997-04-22,1997,112,23145,76.67,25.4,5,186,c,1
25.04.1997_23148,1997-04-25,1997,115,23148,76.5,25.02,14,185,c,2
01.05.1997_23158,1997-05-01,1997,121,23158,76.43,42.15,13,200,c,1
02.05.1997_23165,1997-05-02,1997,122,23165,77.22,41.8,8,202,n,0
02.05.1997_23166,1997-05-02,1997,122,23166,77.63,41.5,5,192,n,0
03.05.1997_23169,1997-05-03,1997,123,23169,77.5,43.85,9,196,n,0
03.05.1997_23170,1997-05-03,1997,123,23170,77.4,42.8,7,196,n,0
04.05.1997_23171,1997-05-04,1997,124,23171,77.27,41.13,12,191,n,0
05.05.1997_23174,1997-05-05,1997,125,23174,77,37.53,5,203,n,0
05.05.1997_23175,1997-05-05,1997,125,23175,76.96,37.3,22,202,n,0
05.05.1997_23178,1997-05-05,1997,125,23178,76.84,36.96,8,195,n,0
06.05.1997_23180,1997-05-06,1997,126,23180,76.8,37.05,12,198,n,0
31.03.1998_23184,1998-03-31,1998,90,23184,76.45,24.93,17,207,n,0
31.03.1998_23186,1998-03-31,1998,90,23186,76.53,25.1,28,206,n,0
01.04.1998_7934,1998-04-01,1998,91,7934,77.95,23.22,8,192,c,2
01.04.1998_23189,1998-04-01,1998,91,23189,77.73,24.78,11,202,n,0
01.04.1998_23190,1998-04-01,1998,91,23190,77.88,24.35,12,194,c,2
01.04.1998_23193,1998-04-01,1998,91,23193,77.95,23.22,19,190,c,1
03.04.1998_20072,1998-04-03,1998,93,20072,77.95,23.22,14,199,c,1
05.04.1998_23203,1998-04-05,1998,95,23203,77.47,21.85,15,193,n,0
05.04.1998_23204,1998-04-05,1998,95,23204,77.6,21.32,18,196,n,0
05.04.1998_23205,1998-04-05,1998,95,23205,77.62,24.07,13,209,n,0
09.04.1998_23210,1998-04-09,1998,99,23210,76.78,26.13,9,193,n,0
10.04.1998_23139,1998-04-10,1998,100,23139,76.93,25.617,8,203,n,0
10.04.1998_23216,1998-04-10,1998,100,23216,76.697,25.51,9,187,n,0
11.04.1998_23218,1998-04-11,1998,101,23218,77.988,23.925,17,196,n,0
12.04.1998_23225,1998-04-12,1998,102,23225,76.635,25.355,10,197,n,0
13.04.1998_23226,1998-04-13,1998,103,23226,76.572,25.163,12,187,c,2
13.04.1998_23229,1998-04-13,1998,103,23229,76.695,25.454,7,192,c,2
13.04.1998_23233,1998-04-13,1998,103,23233,77.238,23.113,11,192,n,0
13.04.1998_23237,1998-04-13,1998,103,23237,78.082,21.065,21,191,c,1
14.04.1998_23242,1998-04-14,1998,104,23242,77.55,23.75,15,200,c,2
14.04.1998_23246,1998-04-14,1998,104,23246,76.691,25.442,10,192,c,2
15.04.1998_23249,1998-04-15,1998,105,23249,76.55,25.157,14,203,c,2
15.04.1998_23252,1998-04-15,1998,105,23252,77.402,23.113,15,194,c,2
16.04.1998_23256,1998-04-16,1998,106,23256,76.67,25.363,15,196,c,3
16.04.1998_23260,1998-04-16,1998,106,23260,76.693,25.433,6,200,c,1
16.04.1998_23262,1998-04-16,1998,106,23262,76.703,25.475,7,193,c,3
16.04.1998_23265,1998-04-16,1998,106,23265,77.455,23.232,12,210,c,3
16.04.1998_23269,1998-04-16,1998,106,23269,77.513,23.757,14,191,c,1
16.04.1998_23271,1998-04-16,1998,106,23271,77.948,22.468,9,193,c,2
16.04.1998_23274,1998-04-16,1998,106,23274,78.035,22.843,7,192,c,2
17.04.1998_7790,1998-04-17,1998,107,7790,77.403,22.477,10,193,n,0
17.04.1998_23278,1998-04-17,1998,107,23278,76.633,25.3,16,197,c,2
17.04.1998_23281,1998-04-17,1998,107,23281,76.683,25.428,8,192,c,1
19.04.1998_23285,1998-04-19,1998,109,23285,76.93,26.882,5,191,n,0
21.04.1998_23288,1998-04-21,1998,111,23288,78.152,22.44,9,202,c,2
21.04.1998_23291,1998-04-21,1998,111,23291,77.808,25.058,13,186,c,1
21.04.1998_23293,1998-04-21,1998,111,23293,76.945,25.498,14,200,n,0
23.04.1998_23016,1998-04-23,1998,113,23016,76.711,25.487,10,195,c,2
23.04.1998_23294,1998-04-23,1998,113,23294,76.458,24.878,15,211,c,1
23.04.1998_23296,1998-04-23,1998,113,23296,76.502,26.26,24,185,n,0
29.04.1998_23305,1998-04-29,1998,119,23305,74.338,37.925,8,194,n,0
29.04.1998_23309,1998-04-29,1998,119,23309,74.723,39.088,7,192,n,0
02.05.1998_23313,1998-05-02,1998,122,23313,75.262,40.845,11,190,n,0
04.05.1998_23315,1998-05-04,1998,124,23315,75.705,41.585,9,197,n,0
04.05.1998_23317,1998-05-04,1998,124,23317,75.978,43.598,23,204,n,0
04.05.1998_23319,1998-05-04,1998,124,23319,76.615,41.058,12,191,n,0
07.05.1998_23324,1998-05-07,1998,127,23324,75.957,39.147,20,194,n,0
07.05.1998_23329,1998-05-07,1998,127,23329,75.762,38.212,5,178,n,0
07.05.1998_23330,1998-05-07,1998,127,23330,76.133,38.15,14,202,n,0
08.05.1998_20052,1998-05-08,1998,128,20052,75.902,37.68,12,193,c,2
27.03.1999_23370,1999-03-27,1999,86,23370,76.67,25.35,21,204,n,0
04.04.1999_23103,1999-04-04,1999,94,23103,77.493,23.673,22,197,n,0
04.04.1999_23367,1999-04-04,1999,94,23367,76.575,25.217,19,198,c,2
05.04.1999_23384,1999-04-05,1999,95,23384,77.498,22.542,7,200,n,0
13.04.1999_23390,1999-04-13,1999,103,23390,77.96,23.26,14,197,c,2
13.04.1999_23393,1999-04-13,1999,103,23393,78.18,22.68,7,186,c,1
13.04.1999_23395,1999-04-13,1999,103,23395,78.24,22.25,13,201,n,0
13.04.1999_23396,1999-04-13,1999,103,23396,78.29,22.73,7,191,n,0
14.04.1999_23397,1999-04-14,1999,104,23397,78.12,23.79,10,198,c,2
14.04.1999_23401,1999-04-14,1999,104,23401,76.93,24.45,22,203,n,0
14.04.1999_23405,1999-04-14,1999,104,23405,78.08,25.15,7,182,n,0
14.04.1999_23406,1999-04-14,1999,104,23406,77.36,24.68,25,194,n,0
15.04.1999_23413,1999-04-15,1999,105,23413,78.88,28.17,9,191,c,2
15.04.1999_23416,1999-04-15,1999,105,23416,78.9,28.15,9,197,c,2
15.04.1999_23419,1999-04-15,1999,105,23419,78.85,28.13,18,205,c,1
15.04.1999_23421,1999-04-15,1999,105,23421,78.85,27.93,9,188,c,1
18.04.1999_23425,1999-04-18,1999,108,23425,76.6,25.21,7,189,c,1
25.03.2000_23432,2000-03-25,2000,85,23432,77.467,24.923,7,189,n,0
25.03.2000_23437,2000-03-25,2000,85,23437,77.267,22.772,9,190,n,0
26.03.2000_23439,2000-03-26,2000,86,23439,77.703,27.021,11,193,n,0
26.03.2000_23441,2000-03-26,2000,86,23441,77.703,27.035,20,197,n,0
