unique_id,date,year,day_number,ID_NR,lat,lon,age,s_length,cub_status,cub_number
14.04.1992_7826,1992-04-14,1992,105,7826,77.583,18.383,15,189,c,2
12.04.1993_7857,1993-04-12,1993,102,7857,77.336,22.584,8,196,c,2
12.04.1993_7860,1993-04-12,1993,102,7860,77.902,23.519,6,192,c,2
12.04.1993_7863,1993-04-12,1993,102,7863,78.224,21.667,10,195,c,2
13.04.1993_7793,1993-04-13,1993,103,7793,78.341,20.633,12,210,c,2
29.04.1993_7822,1993-04-29,1993,119,7822,77.73,18.4,11,193,c,2
29.03.1994_7951,1994-03-29,1994,88,7951,79.515,13.701,7,202,c,2
14.04.1994_7887,1994-04-14,1994,104,7887,76.52,25.05,6,194,c,1
14.04.1994_7889,1994-04-14,1994,104,7889,76.52,25.05,7,200,c,2
19.04.1994_7893,1994-04-19,1994,109,7893,76.521,25.064,13,202,c,2
05.04.1995_7919,1995-04-05,1995,95,7919,76.67,25.45,6,189,c,2
08.04.1995_7761,1995-04-08,1995,98,7761,76.7,25.43,12,195,c,2
08.04.1995_7928,1995-04-08,1995,98,7928,76.7,25.44,8,187,c,2
11.04.1995_7935,1995-04-11,1995,101,7935,76.52,25.1,7,188,c,1
11.04.1995_7937,1995-04-11,1995,101,7937,76.7,25.45,8,197,c,2
11.04.1995_7940,1995-04-11,1995,101,7940,76.5,24.95,6,188,c,2
12.04.1995_7944,1995-04-12,1995,102,7944,76.51,25.1,10,190,c,2
20.04.1995_7949,1995-04-20,1995,110,7949,76.51,25.1,8,185,c,2
20.04.1995_7963,1995-04-20,1995,110,7963,76.5,25.1,6,188,c,2
02.04.1996_7993,1996-04-02,1996,93,7993,76.7,25.467,14,182,c,1
03.04.1996_7997,1996-04-03,1996,94,7997,76.7,25.45,7,195,c,2
04.04.1996_23004,1996-04-04,1996,95,23004,76.68,25.4,9,191,c,2
06.04.1996_23007,1996-04-06,1996,97,23007,76.5,25,6,185,c,2
06.04.1996_23010,1996-04-06,1996,97,23010,76.7,25.467,14,195,c,2
07.04.1996_23013,1996-04-07,1996,98,23013,76.683,25.52,7,190,c,2
09.04.1996_23016,1996-04-09,1996,100,23016,76.67,25.43,8,195,c,2
